FID,TANKID,Include,Sex,Diet,P,L,E,P_L,Tank,Family,Wet_wt,Dry_wt,Fat_free_wt,Ashed_wt,Fat,Protein,Pwater,Pfat,Pash,Pprotein,Energy_fat,Energy_protein,Total_energy,P_F,Diff_P_F,Testes_wt,Wt_body,Sperm_y,P_end
MT031,M11M,y,m,1,67.5,6.6,19.3,10.22727273,M11,f107,0.7079,0.1968,0.146,0.0206,0.0508,0.1254,72.2,25.8,10.46,63.74,2.01,2.97,4.983903684,2.468503937,-7.75876879,NA,NA,n,y
MT034,M12L,y,f,2,59.3,13,20.2,4.561538462,M12,f107,1.8417,0.5868,0.3504,0.0654,0.2364,0.285,68.1,40.3,11.14,48.57,9.36,6.76,16.11678833,1.205583756,-3.355954706,NA,1.9,n,y
MT035,M12M,y,f,2,59.3,13,20.2,4.561538462,M12,f102,0.9053,0.2956,0.2013,0.0483,0.0943,0.153,67.3,31.9,16.35,51.75,3.73,3.63,7.358962503,1.622481442,-2.93905702,NA,0.97,n,y
MT036,M12S,y,f,2,59.3,13,20.2,4.561538462,M12,f115,0.8992,0.2773,0.2028,0.0464,0.0745,0.1564,69.2,26.9,16.72,56.4,2.95,3.71,6.658407686,2.099328859,-2.462209603,NA,0.96,n,y
MT039,M13L,y,m,3,51.6,20.5,22.2,2.517073171,M13,f115,1.7119,0.6586,0.3832,0.0823,0.2754,0.3009,61.5,41.8,12.5,45.69,10.91,7.13,18.03691157,1.092592593,-1.424480578,NA,1.88,n,y
MT037,M13M,y,m,3,51.6,20.5,22.2,2.517073171,M13,f107,0.9757,0.3522,0.2262,0.0522,0.126,0.174,63.9,35.8,14.82,49.41,4.99,4.12,9.11278262,1.380952381,-1.13612079,0.0049,1.09,y,y
MT038,M13S,y,m,3,51.6,20.5,22.2,2.517073171,M13,f102,0.924,0.3142,0.2097,0.0493,0.1045,0.1604,66,33.3,15.69,51.04,4.14,3.8,7.940177656,1.53492823,-0.982144941,0.0074,0.99,y,y
MT042,M14L,y,f,4,33.2,3.9,17.5,8.512820513,M14,f115,0.8644,0.2319,0.1756,0.0264,0.0563,0.1492,73.2,24.3,11.38,64.35,2.23,3.54,5.765013864,2.65008881,-5.862731703,NA,0.94,n,y
MT041,M14M,y,f,4,33.2,3.9,17.5,8.512820513,M14,f102,0.6965,0.2013,0.1762,0.0469,0.0251,0.1292,71.1,12.5,23.31,64.21,1,3.06,4.058586582,5.147410359,-3.365410154,NA,0.81,n,y
MT040,M14S,y,f,4,33.2,3.9,17.5,8.512820513,M14,f107,0.3656,0.0992,0.0849,0.0189,0.0143,0.066,72.9,14.4,19.07,66.49,0.57,1.56,2.130333066,4.615384615,-3.897435898,NA,0.49,n,y
