FID,Sex,Tank,Wt,Ln,Diet,Family,Act
MT088,m,M1,0.26,28,1,f112,20.5
MT090,m,M1,0.99,45,1,f108,14.2
MT089,m,M1,0.81,43,1,f109,5.4
MT097,f,M2,0.58,38,2,f108,6.5
MT099,f,M2,0.24,28,2,f112,23.4
MT098,f,M2,0.49,40,2,f109,14
MT092,m,M3,1.26,48,3,f109,4.8
MT091,m,M3,0.39,33,3,f112,14.2
MT093,m,M3,0.69,40,3,f108,23.5
MT100,f,M4,0.62,42,4,f108,21.8
MT102,f,M4,0.34,35,4,f112,21.1
MT101,f,M4,0.83,42,4,f109,3.9
MT075,m,M5,0.35,33,5,f106,10.7
MT073,m,M5,0.79,40.5,5,f115,32.5
MT074,m,M5,0.53,35.5,5,f107,6
MT095,m,M9,0.84,43,2,f109,0.3
MT094,m,M9,0.45,35,2,f112,36.8
MT096,m,M9,0.75,42,2,f108,22.5
MT108,f,M10,1.04,45,1,f112,11.5
MT106,f,M10,0.83,44,1,f108,10.8
MT107,f,M10,0.25,30,1,f109,21.2
MT150,m,M7,0.5,34.5,4,f105,28.9
MT149,m,M7,0.83,42,4,f107,19.2
MT148,m,M7,0.35,32,4,f106,9.2
MT033,m,M11,0.91,43.5,1,f115,25.8
MT032,m,M11,0.43,33,1,f119,2.9
MT031,m,M11,0.55,39.5,1,f107,13.1
MT104,f,M8,0.88,42,3,f109,10.7
MT105,f,M8,0.72,39,3,f112,17.2
MT103,f,M8,0.33,32,3,f108,9.1
MT125,f,M6,0.24,24,5,f105,23.9
MT126,f,M6,0.99,44.5,5,f112,20.4
MT124,f,M6,0.37,32,5,f107,29.3
MT034,f,M12,0.9,42.5,2,f107,2.7
MT035,f,M12,0.84,43,2,f102,10.7
MT036,f,M12,0.37,33.5,2,f115,19.3
MT044,m,M15,0.62,38,5,f102,14.8
MT045,m,M15,0.7,40,5,f115,37.3
MT065,f,O4,0.28,30.5,2,f105,16.2
MT064,f,O4,0.72,44,2,f115,28.7
MT066,f,O4,0.8,43,2,f102,23.7
MT133,m,O5,0.73,41,1,f106,4.8
MT135,m,O5,0.32,30.5,1,f105,4.7
MT134,m,O5,0.27,28.5,1,f107,10.4
MT041,f,M14,0.52,37,4,f102,25.3
MT040,f,M14,0.27,29.5,4,f107,10.1
MT042,f,M14,0.66,39.5,4,f115,16.4
MT037,m,M13,0.56,38,3,f107,5.5
MT039,m,M13,1.04,48,3,f115,15.9
MT038,m,M13,0.38,32,3,f102,42.3
MT052,m,O1,0.32,30,5,f115,25
MT054,m,O1,0.31,29.5,5,f106,27.6
MT053,m,O1,0.72,39,5,f107,20.2
MT059,f,O6,0.55,38.5,1,f115,42.4
MT058,f,O6,0.66,37.5,1,f102,19.4
MT060,f,O6,0.72,42,1,f105,28.4
MT144,m,O7,0.22,27.5,2,f105,8
MT143,m,O7,0.42,47.5,2,f107,9
MT142,m,O7,0.49,37.5,2,f106,13.2
MT055,f,O2,0.61,38,4,f102,6.5
MT056,f,O2,0.33,34.5,4,f115,23.4
MT057,f,O2,0.31,31.5,4,f105,17.6
MT062,m,O3,0.9,44.5,3,f107,31.2
MT063,m,O3,0.23,29.5,3,f106,7.8
MT061,m,O3,0.84,43.5,3,f115,12.2
MT112,f,O10,0.86,47.5,5,f107,12
MT113,f,O10,0.65,37,5,f105,20.7
MT114,f,O10,0.55,37.5,5,f112,18.7
MT080,m,O9,NA,NA,4,f115,12.8
MT081,m,O9,0.58,41.5,4,f106,32.2
MT079,m,O9,0.7,43,4,f107,3.6
MT111,f,O8,0.44,34.5,3,f112,26.2
MT109,f,O8,0.85,44,3,f107,5.7
MT110,f,O8,0.72,39.5,3,f105,35
MT136,m,O11,0.65,42,5,f106,4.7
MT137,m,O11,0.34,34.5,5,f107,10.4
MT138,m,O11,0.49,35.5,5,f105,19.7
MT119,f,O14,0.57,38,2,f105,10.4
MT118,f,O14,0.87,43.5,2,f107,5.3
MT120,f,O14,0.37,33,2,f112,21.6
MT115,f,O12,0.77,41.5,4,f107,0.7
MT116,f,O12,0.3,32,4,f105,21.8
MT117,f,O12,0.78,41,4,f112,13.8
MT139,m,O15,1.09,42,1,f106,0.3
MT141,m,O15,0.66,38,1,f105,17.2
MT140,m,O15,0.35,31,1,f107,3.8
MT122,f,P5,0.44,35.5,5,f105,6.3
MT121,f,P5,0.82,33.5,5,f107,8.5
MT123,f,P5,0.29,31.5,5,f112,12.2
MT071,f,P3,0.58,37,3,f105,2.9
MT070,f,P3,0.83,42,3,f115,4.9
MT072,f,P3,0.85,42,3,f107,18.6
MT146,m,P2,0.58,40,2,f107,4.8
MT145,m,P2,0.13,25,2,f106,9.6
MT147,m,P2,0.48,35,2,f105,15.4
MT085,m,P4,0.64,40,4,f112,8.5
MT086,m,P4,0.79,41,4,f109,7.3
MT087,m,P4,0.18,26,4,f108,7.6
MT069,f,P1,0.77,41.5,1,f102,13.7
MT068,f,P1,0.27,27.5,1,f105,12.6
MT011,f,P9,0.83,43.5,2,f102,22.1
MT010,f,P9,0.4,36,2,f107,36.1
MT012,f,P9,0.4,34,2,f115,10.6
MT003,m,P6,0.29,32.5,5,f115,18.5
MT001,m,P6,0.67,38.5,5,f107,0.4
MT002,m,P6,0.89,43.5,5,f119,35.9
MT009,m,P8,0.72,42,3,f115,11.8
MT007,m,P8,0.88,45,3,f107,1.6
MT008,m,P8,0.35,34.5,3,f102,36.9
MT030,f,P15,0.6,40,5,f115,28.3
MT028,f,P15,0.4,34,5,f107,7.2
MT015,m,P10,0.5,39,1,f115,4.5
MT013,m,P10,0.33,30,1,f107,13.7
MT014,m,P10,0.88,41,1,f119,8.9
MT020,m,P12,0.98,43.5,2,f119,8.3
MT021,m,P12,0.25,31,2,f115,20.8
MT019,m,P12,0.36,31.5,2,f107,7.8
MT004,f,P7,0.67,39.5,4,f107,7.6
MT006,f,P7,0.6,40,4,f115,43
MT005,f,P7,0.43,33.5,4,f102,17.1
MT022,f,P13,0.55,36.5,3,f107,2.1
MT023,f,P13,0.2,24.5,3,f102,7.3
MT024,f,P13,1.02,48,3,f115,9.3
MT017,f,P11,0.34,33,1,f102,14.3
MT016,f,P11,0.61,38,1,f107,26.4
MT018,f,P11,0.99,45,1,f115,36.5
MT078,m,N4,0.23,24,2,f106,12.8
MT076,m,N4,0.74,43,2,f107,3.5
MT077,m,N4,0.52,37,2,f115,26
MT026,m,P14,0.55,40.5,4,f119,19.9
MT027,m,P14,0.18,25,4,f115,16.4
MT025,m,P14,0.36,33.5,4,f107,12.9
MT046,f,N1,0.66,41,5,f102,11
MT048,f,N1,0.8,41,5,f105,16.7
MT047,f,N1,0.57,36,5,f115,42.9
MT131,f,N5,0.41,33,1,f105,8.8
MT130,f,N5,0.93,44,1,f107,15
MT132,f,N5,0.87,43,1,f112,9.5
MT127,f,N3,1,45,3,f107,18.7
MT129,f,N3,0.83,41,3,f112,11
MT050,m,N2,0.27,29,4,f107,9.9
MT051,m,N2,NA,NA,4,f106,18.4
MT082,m,O13,0.94,43,3,f112,2.4
MT084,m,O13,0.87,42,3,f108,25.7
MT083,m,O13,0.66,38.5,3,f109,2.9
