FID,Diet,Sex,Tank,Family,Swim_time,Wt,Ln,Date,Temp,Inc
MT090,1,m,M1,f108,587,1.53,49.5,04/02/2015,8,y
MT089,1,m,M1,f109,376,1.26,47,04/02/2015,8,y
MT088,1,m,M1,f112,428,0.33,29,04/02/2015,8,y
MT097,2,f,M2,f108,NA,NA,NA,NA,NA,n
MT098,2,f,M2,f109,NA,NA,NA,NA,NA,n
MT099,2,f,M2,f112,NA,NA,NA,NA,NA,n
MT092,3,m,M3,f109,NA,NA,NA,NA,NA,n
MT093,3,m,M3,f108,NA,NA,NA,NA,NA,n
MT091,3,m,M3,f112,NA,NA,NA,NA,NA,n
MT101,4,f,M4,f109,444,1.1,44.5,04/02/2015,8,y
MT100,4,f,M4,f108,206,0.97,44,04/02/2015,8,y
MT102,4,f,M4,f112,64,0.89,45,04/02/2015,8,y
MT073,5,m,M5,f115,1178,0.92,43,04/02/2015,8,y
MT074,5,m,M5,f107,1500,0.84,40.5,04/02/2015,8,y
MT075,5,m,M5,f106,0,0.71,36,04/02/2015,8,y
MT126,5,f,M6,f112,NA,NA,NA,NA,NA,n
MT124,5,f,M6,f107,17,0.79,41,03/02/2015,8.125,y
MT125,5,f,M6,f105,719,0.3,30.5,03/02/2015,8.125,y
MT149,4,m,M7,f107,404,1.07,47,03/02/2015,8.125,y
MT150,4,m,M7,f105,0,0.72,40.5,03/02/2015,8.125,y
MT148,4,m,M7,f106,1028,0.67,37.5,03/02/2015,8.125,y
MT104,3,f,M8,f109,NA,NA,NA,NA,NA,n
MT105,3,f,M8,f112,NA,NA,NA,NA,NA,n
MT103,3,f,M8,f108,NA,NA,NA,NA,NA,n
MT095,2,m,M9,f109,NA,NA,NA,NA,NA,n
MT096,2,m,M9,f108,NA,NA,NA,NA,NA,n
MT094,2,m,M9,f112,1048,0.82,43.5,03/02/2015,8.125,y
MT108,1,f,M10,f112,NA,NA,NA,NA,NA,n
MT106,1,f,M10,f108,NA,NA,NA,NA,NA,n
MT107,1,f,M10,f109,NA,NA,NA,NA,NA,n
MT033,1,m,M11,f115,NA,NA,NA,NA,NA,n
MT031,1,m,M11,f107,NA,NA,NA,NA,NA,n
MT032,1,m,M11,f119,1500,0.69,41.5,10/02/2015,10.5,y
MT034,2,f,M12,f107,0,1.84,50.5,12/02/2015,10,y
MT035,2,f,M12,f102,15,0.97,43,10/02/2015,10.5,y
MT036,2,f,M12,f115,1500,0.89,45.5,12/02/2015,10,y
MT039,3,m,M13,f115,1500,1.68,50,10/02/2015,10.5,y
MT037,3,m,M13,f107,369,1.01,41.5,12/02/2015,10,y
MT038,3,m,M13,f102,69,0.89,43,12/02/2015,10,y
MT042,4,f,M14,f115,1500,0.92,42,12/02/2015,10,y
MT041,4,f,M14,f102,16,0.74,39.5,10/02/2015,10.5,y
MT040,4,f,M14,f107,0,0.25,31,12/02/2015,10,y
MT045,5,m,M15,f115,0,1.21,46,12/02/2015,10,y
MT044,5,m,M15,f102,1500,0.93,46,10/02/2015,10.5,y
MT043,5,m,M15,f107,NA,NA,NA,NA,NA,n
MT048,5,f,N1,f105,0,1.02,46,17/02/2015,8.875,y
MT046,5,f,N1,f102,0,1,47.5,17/02/2015,8.875,y
MT047,5,f,N1,f115,759,0.96,43,17/02/2015,8.875,y
MT049,4,m,N2,f115,34,0.98,45,17/02/2015,8.875,y
MT051,4,m,N2,f106,NA,NA,NA,NA,NA,n
MT050,4,m,N2,f107,617,0.51,36,17/02/2015,8.875,y
MT127,3,f,N3,f107,1194,1.3,54,17/02/2015,8.875,y
MT129,3,f,N3,f112,809,1.09,47,17/02/2015,8.875,y
MT128,3,f,N3,f105,NA,NA,NA,NA,NA,n
MT076,2,m,N4,f107,626,1.18,47,17/02/2015,8.875,y
MT077,2,m,N4,f115,33,1.06,44,17/02/2015,8.875,y
MT078,2,m,N4,f106,1500,0.22,23,17/02/2015,8.875,y
MT130,1,f,N5,f107,432,1.31,50,17/02/2015,8.875,y
MT132,1,f,N5,f112,828,1.27,48.5,17/02/2015,8.875,y
MT131,1,f,N5,f105,1500,0.49,36,17/02/2015,8.875,y
MT053,5,m,O1,f107,241,0.99,46.5,30/01/2015,8.25,y
MT052,5,m,O1,f115,133,0.59,41.5,29/01/2015,8.625,y
MT054,5,m,O1,f106,73,0.35,31,29/01/2015,8.625,y
